Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city4,192.168.1.11,192.168.1.6,1747938009655,1747938009660,1747938009671,5,11,0,0
city4,192.168.1.11,192.168.1.6,1747938009657,1747938009671,1747938009679,14,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009659,1747938009679,Filtered,20,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009661,1747938009680,Filtered,19,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009663,1747938009680,1747938009687,17,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009665,1747938009688,1747938009695,23,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009667,1747938009695,Filtered,28,0,0,1
city4,192.168.1.11,192.168.1.6,1747938009669,1747938009696,1747938009703,27,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009671,1747938009704,1747938009711,33,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009673,1747938009711,1747938009718,38,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009676,1747938009718,1747938009725,42,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009678,1747938009725,1747938009733,47,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009680,1747938009733,1747938009741,53,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009682,1747938009741,1747938009749,59,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009684,1747938009749,1747938009756,65,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009686,1747938009756,1747938009763,70,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009688,1747938009763,1747938009770,75,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009690,1747938009771,1747938009777,81,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009692,1747938009777,1747938009784,85,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009694,1747938009784,1747938009791,90,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009696,1747938009792,1747938009798,96,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009699,1747938009798,1747938009806,99,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009701,1747938009806,1747938009812,105,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009703,1747938009813,1747938009819,110,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009705,1747938009819,1747938009825,114,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009707,1747938009825,1747938009832,118,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009709,1747938009832,1747938009838,123,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009711,1747938009838,1747938009845,127,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009713,1747938009845,1747938009851,132,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009715,1747938009851,1747938009857,136,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009717,1747938009857,1747938009864,140,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009719,1747938009864,1747938009870,145,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009721,1747938009871,1747938009877,150,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009723,1747938009878,1747938009883,155,5,0,0
city4,192.168.1.11,192.168.1.6,1747938009726,1747938009884,1747938009890,158,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009728,1747938009890,1747938009896,162,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009730,1747938009896,1747938009903,166,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009732,1747938009904,1747938009910,172,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009734,1747938009910,1747938009916,176,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009736,1747938009916,1747938009922,180,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009738,1747938009922,1747938009928,184,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009740,1747938009929,1747938009936,189,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009742,1747938009936,1747938009943,194,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009744,1747938009944,1747938009952,200,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009747,1747938009952,1747938009959,205,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009749,1747938009959,1747938009966,210,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009751,1747938009967,1747938009974,216,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009753,1747938009974,1747938009982,221,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009755,1747938009982,1747938009990,227,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009757,1747938009990,1747938009998,233,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009759,1747938009998,1747938010005,239,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009761,1747938010005,1747938010012,244,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009764,1747938010013,1747938010021,249,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009766,1747938010021,1747938010027,255,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009768,1747938010028,1747938010034,260,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009770,1747938010034,1747938010040,264,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009772,1747938010040,1747938010047,268,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009774,1747938010048,1747938010054,274,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009776,1747938010055,1747938010060,279,5,0,0
city4,192.168.1.11,192.168.1.6,1747938009779,1747938010061,1747938010068,282,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009781,1747938010068,1747938010074,287,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009783,1747938010075,1747938010081,292,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009785,1747938010082,1747938010088,297,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009787,1747938010088,1747938010095,301,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009789,1747938010095,1747938010101,306,6,0,0
